panel	square_geometry	temperature_disk	temperature_square	delta_temperature	abs_delta_temperature
Disk GCE to Square GCE	square_obc	0.021621704450	0.058968895058	0.037347190608	0.037347190608
Disk GCE to Square GCE	square_obc	0.021688231958	0.059121698388	0.037433466430	0.037433466430
Disk GCE to Square GCE	square_obc	0.021754964165	0.059273955899	0.037518991734	0.037518991734
Disk GCE to Square GCE	square_obc	0.021821901698	0.059423565780	0.037601664082	0.037601664082
Disk GCE to Square GCE	square_obc	0.021889045191	0.059573553283	0.037684508092	0.037684508092
Disk GCE to Square GCE	square_obc	0.021956395276	0.059723919360	0.037767524084	0.037767524084
Disk GCE to Square GCE	square_obc	0.022023952590	0.059874664967	0.037850712377	0.037850712377
Disk GCE to Square GCE	square_obc	0.022091717771	0.060025791062	0.037934073291	0.037934073291
Disk GCE to Square GCE	square_obc	0.022159691456	0.060177298606	0.038017607150	0.038017607150
Disk GCE to Square GCE	square_obc	0.022227874290	0.060328853303	0.038100979013	0.038100979013
Disk GCE to Square GCE	square_obc	0.022296266913	0.060477065687	0.038180798774	0.038180798774
Disk GCE to Square GCE	square_obc	0.022364869974	0.060625642190	0.038260772216	0.038260772216
Disk GCE to Square GCE	square_obc	0.022433684117	0.060774583707	0.038340899590	0.038340899590
Disk GCE to Square GCE	square_obc	0.022502709995	0.060923891135	0.038421181140	0.038421181140
Disk GCE to Square GCE	square_obc	0.022571948256	0.061073565372	0.038501617116	0.038501617116
Disk GCE to Square GCE	square_obc	0.022641399557	0.061223607321	0.038582207764	0.038582207764
Disk GCE to Square GCE	square_obc	0.022711064550	0.061374017883	0.038662953333	0.038662953333
Disk GCE to Square GCE	square_obc	0.022780943895	0.061521622553	0.038740678658	0.038740678658
Disk GCE to Square GCE	square_obc	0.022851038251	0.061668619517	0.038817581266	0.038817581266
Disk GCE to Square GCE	square_obc	0.022921348279	0.061815967708	0.038894619429	0.038894619429
Disk GCE to Square GCE	square_obc	0.022991874643	0.061963667966	0.038971793323	0.038971793323
Disk GCE to Square GCE	square_obc	0.023062618008	0.062111721133	0.039049103125	0.039049103125
Disk GCE to Square GCE	square_obc	0.023133579043	0.062260128051	0.039126549008	0.039126549008
Disk GCE to Square GCE	square_obc	0.023204758417	0.062408889566	0.039204131149	0.039204131149
Disk GCE to Square GCE	square_obc	0.023276156801	0.062561177195	0.039285020394	0.039285020394
Disk GCE to Square GCE	square_obc	0.023347774870	0.062717617359	0.039369842489	0.039369842489
Disk GCE to Square GCE	square_obc	0.023419613300	0.062874448716	0.039454835416	0.039454835416
Disk GCE to Square GCE	square_obc	0.023491672768	0.063031672246	0.039539999478	0.039539999478
Disk GCE to Square GCE	square_obc	0.023563953956	0.063189288927	0.039625334971	0.039625334971
Disk GCE to Square GCE	square_obc	0.023636457544	0.063347299744	0.039710842200	0.039710842200
Disk GCE to Square GCE	square_obc	0.023709184217	0.063505705682	0.039796521465	0.039796521465
Disk GCE to Square GCE	square_obc	0.023782134662	0.063664507729	0.039882373067	0.039882373067
Disk GCE to Square GCE	square_obc	0.023855309567	0.063820809903	0.039965500336	0.039965500336
Disk GCE to Square GCE	square_obc	0.023928709623	0.063975755976	0.040047046353	0.040047046353
Disk GCE to Square GCE	square_obc	0.024002335522	0.064131078231	0.040128742709	0.040128742709
Disk GCE to Square GCE	square_obc	0.024076187960	0.064286777582	0.040210589622	0.040210589622
Disk GCE to Square GCE	square_obc	0.024150267633	0.064442854945	0.040292587312	0.040292587312
Disk GCE to Square GCE	square_obc	0.024224575241	0.064599311237	0.040374735996	0.040374735996
Disk GCE to Square GCE	square_obc	0.024299111485	0.064756147378	0.040457035893	0.040457035893
Disk GCE to Square GCE	square_obc	0.024373877069	0.064913364291	0.040539487222	0.040539487222
Disk GCE to Square GCE	square_obc	0.024448872698	0.065067266987	0.040618394289	0.040618394289
Disk GCE to Square GCE	square_obc	0.024524099079	0.065220498820	0.040696399741	0.040696399741
Disk GCE to Square GCE	square_obc	0.024599556924	0.065374091510	0.040774534586	0.040774534586
Disk GCE to Square GCE	square_obc	0.024675246944	0.065528045907	0.040852798963	0.040852798963
Disk GCE to Square GCE	square_obc	0.024751169853	0.065682362863	0.040931193010	0.040931193010
Disk GCE to Square GCE	square_obc	0.024827326368	0.065837043232	0.041009716864	0.041009716864
Disk GCE to Square GCE	square_obc	0.024903717208	0.065992087869	0.041088370661	0.041088370661
Disk GCE to Square GCE	square_obc	0.024980343095	0.066147497633	0.041167154538	0.041167154538
